C:\Test.Xpress Projects\Tubo Kunt Flávia\Data\Cartao.1_M1.xdf;03.10.19;11:51:52;;;
;C1:  Time[s];C1:  [Pa];C2:  Time[s];C2:  [Pa];M1: FRF(C1,C2) Frequency[Hz];M1: FRF(C1,C2) [](A);;M2: FRF(C2,C1) Frequency[Hz];M2: FRF(C2,C1) [](A);;M3: FFT(C1) Frequency[Hz];M3: FFT(C1) [Pa](A);;M4: FFT(C2) Frequency[Hz];M4: FFT(C2) [Pa](A);;M5: PHASE(M1) Frequency[Hz];M5: PHASE(M1) Phase[°](A);M6: PHASE(M2) Frequency[Hz];M6: PHASE(M2) Phase[°](A)
Unit;s;Pa;s;Pa;Hz;;;Hz;;;Hz;Pa;;Hz;Pa;;Hz;°;Hz;°
Sensor;;;;;;;;;;;;;;;;;;;;
PointId;;;;;;;;;;;;;;;;;;;;
PointDir;;'';;'';;'';;;'';;;'';;;'';;;'';;''
Info1;;;;;;;;;;;;;;;;;;;;
Info2;;;;;;;;;;;;;;;;;;;;
Info3;;;;;;;;;;;;;;;;;;;;
Info4;;;;;;;;;;;;;;;;;;;;
Z Axis;;;;;;;;;;;;;;;;
;0,00;8,06;0,00;11,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;63,64;0,00;63,64
;0,00;7,32;0,00;10,67;4,00;0,00;-0,00;4,00;0,00;0,00;4,00;-0,00;-0,00;4,00;-0,00;-0,00;4,00;-1,87;4,00;1,87
;0,00;-0,01;0,00;4,80;8,00;0,00;-0,00;8,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;8,00;-1,57;8,00;1,57
;0,00;-3,13;0,00;-5,47;12,00;0,00;-0,00;12,00;0,00;0,00;12,00;0,00;0,00;12,00;0,00;0,00;12,00;-0,99;12,00;0,99
;0,00;-2,64;0,00;-12,73;16,00;0,00;-0,00;16,00;0,00;0,00;16,00;0,00;-0,00;16,00;0,00;-0,00;16,00;-0,55;16,00;0,55
;0,00;-6,71;0,00;-9,47;20,00;0,00;-0,00;20,00;0,00;0,00;20,00;-0,00;0,00;20,00;-0,00;0,00;20,00;-0,18;20,00;0,18
;0,00;-2,06;0,00;-2,94;24,00;0,00;-0,00;24,00;0,01;0,00;24,00;0,00;-0,00;24,00;0,00;-0,00;24,00;-0,09;24,00;0,09
;0,00;2,45;0,00;5,09;28,00;0,01;0,00;28,00;0,01;-0,00;28,00;0,00;-0,00;28,00;0,00;-0,00;28,00;0,03;28,00;-0,03
;0,00;3,76;0,00;9,00;32,00;0,01;0,00;32,00;0,01;-0,00;32,00;-0,00;-0,00;32,00;-0,00;-0,00;32,00;0,15;32,00;-0,15
;0,00;9,13;0,00;8,71;36,00;0,01;0,00;36,00;0,02;-0,00;36,00;-0,00;0,00;36,00;-0,00;0,00;36,00;0,20;36,00;-0,20
;0,00;6,45;0,00;6,88;40,00;0,02;0,00;40,00;0,02;-0,00;40,00;0,00;-0,00;40,00;0,00;-0,00;40,00;0,22;40,00;-0,22
;0,00;3,51;0,00;5,68;44,00;0,02;0,00;44,00;0,02;-0,00;44,00;-0,00;0,00;44,00;-0,00;0,00;44,00;0,29;44,00;-0,29
;0,00;-2,25;0,00;0,60;48,00;0,03;0,00;48,00;0,03;-0,00;48,00;-0,00;-0,00;48,00;-0,00;-0,00;48,00;0,32;48,00;-0,32
;0,00;-5,75;0,00;-6,44;52,00;0,03;0,00;52,00;0,03;-0,00;52,00;0,00;0,00;52,00;0,00;0,00;52,00;0,35;52,00;-0,35
;0,00;-9,72;0,00;-13,34;56,00;0,04;0,00;56,00;0,04;-0,00;56,00;-0,00;-0,00;56,00;-0,00;-0,00;56,00;0,35;56,00;-0,35
;0,00;-10,37;0,00;-15,30;60,00;0,04;0,00;60,00;0,05;-0,00;60,00;0,00;0,00;60,00;0,00;0,00;60,00;0,38;60,00;-0,38
;0,00;-7,62;0,00;-12,01;64,00;0,05;0,00;64,00;0,05;-0,00;64,00;0,00;-0,00;64,00;0,00;-0,00;64,00;0,42;64,00;-0,42
;0,00;-6,83;0,00;-3,53;68,00;0,06;0,00;68,00;0,06;-0,00;68,00;-0,00;-0,00;68,00;-0,00;-0,00;68,00;0,44;68,00;-0,44
;0,00;-2,31;0,00;0,91;72,00;0,06;0,00;72,00;0,06;-0,00;72,00;0,00;0,00;72,00;0,00;0,00;72,00;0,45;72,00;-0,45
;0,00;3,25;0,00;3,20;76,00;0,07;0,00;76,00;0,07;-0,00;76,00;-0,00;0,00;76,00;-0,00;0,00;76,00;0,45;76,00;-0,45
