C:\Test.Xpress Projects\Tubo Kunt Flávia\Data\Cortica.3_M2.xdf;03.10.19;11:54:33;;;
;C1:  Time[s];C1:  [Pa];C2:  Time[s];C2:  [Pa];M1: FRF(C1,C2) Frequency[Hz];M1: FRF(C1,C2) [](A);;M2: FRF(C2,C1) Frequency[Hz];M2: FRF(C2,C1) [](A);;M3: FFT(C1) Frequency[Hz];M3: FFT(C1) [Pa](A);;M4: FFT(C2) Frequency[Hz];M4: FFT(C2) [Pa](A);;M5: PHASE(M1) Frequency[Hz];M5: PHASE(M1) Phase[°](A);M6: PHASE(M2) Frequency[Hz];M6: PHASE(M2) Phase[°](A)
Unit;s;Pa;s;Pa;Hz;;;Hz;;;Hz;Pa;;Hz;Pa;;Hz;°;Hz;°
Sensor;;;;;;;;;;;;;;;;;;;;
PointId;;;;;;;;;;;;;;;;;;;;
PointDir;;'';;'';;'';;;'';;;'';;;'';;;'';;''
Info1;;;;;;;;;;;;;;;;;;;;
Info2;;;;;;;;;;;;;;;;;;;;
Info3;;;;;;;;;;;;;;;;;;;;
Info4;;;;;;;;;;;;;;;;;;;;
Z Axis;;;;;;;;;;;;;;;;
;0,00;1,06;0,00;1,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;63,64;0,00;63,64
;0,00;-0,75;0,00;0,60;4,00;0,00;-0,00;4,00;0,00;0,00;4,00;-0,00;-0,00;4,00;-0,00;-0,00;4,00;-2,06;4,00;2,06
;0,00;-0,54;0,00;0,42;8,00;0,00;-0,00;8,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;8,00;-1,90;8,00;1,90
;0,00;0,98;0,00;2,06;12,00;0,00;-0,00;12,00;0,00;0,00;12,00;-0,00;0,00;12,00;-0,00;0,00;12,00;-0,84;12,00;0,84
;0,00;3,15;0,00;-0,23;16,00;0,00;-0,00;16,00;0,00;0,00;16,00;0,00;-0,00;16,00;0,00;-0,00;16,00;-0,61;16,00;0,61
;0,00;2,06;0,00;1,98;20,00;0,00;-0,00;20,00;0,00;0,00;20,00;0,00;0,00;20,00;0,00;0,00;20,00;-0,24;20,00;0,24
;0,00;0,88;0,00;2,27;24,00;0,00;-0,00;24,00;0,01;0,00;24,00;-0,00;-0,00;24,00;-0,00;-0,00;24,00;-0,03;24,00;0,03
;0,00;0,67;0,00;0,35;28,00;0,01;0,00;28,00;0,01;-0,00;28,00;-0,00;0,00;28,00;-0,00;0,00;28,00;0,05;28,00;-0,05
;0,00;1,14;0,00;1,11;32,00;0,01;0,00;32,00;0,01;-0,00;32,00;0,00;-0,00;32,00;0,00;-0,00;32,00;0,13;32,00;-0,13
;0,00;0,31;0,00;-1,84;36,00;0,01;0,00;36,00;0,02;-0,00;36,00;0,00;0,00;36,00;0,00;0,00;36,00;0,23;36,00;-0,23
;0,00;-1,58;0,00;0,03;40,00;0,02;0,00;40,00;0,02;-0,00;40,00;-0,00;-0,00;40,00;-0,00;-0,00;40,00;0,27;40,00;-0,27
;0,00;-2,73;0,00;-2,04;44,00;0,02;0,00;44,00;0,02;-0,00;44,00;0,00;0,00;44,00;0,00;0,00;44,00;0,31;44,00;-0,31
;0,00;-2,49;0,00;-1,57;48,00;0,03;0,00;48,00;0,03;-0,00;48,00;-0,00;-0,00;48,00;-0,00;-0,00;48,00;0,33;48,00;-0,33
;0,00;-0,96;0,00;1,03;52,00;0,03;0,00;52,00;0,03;-0,00;52,00;-0,00;0,00;52,00;-0,00;0,00;52,00;0,38;52,00;-0,38
;0,00;2,01;0,00;-1,60;56,00;0,04;0,00;56,00;0,04;-0,00;56,00;-0,00;-0,00;56,00;-0,00;-0,00;56,00;0,42;56,00;-0,42
;0,00;1,50;0,00;1,08;60,00;0,04;0,00;60,00;0,05;-0,00;60,00;0,00;-0,00;60,00;0,00;-0,00;60,00;0,43;60,00;-0,43
;0,00;0,67;0,00;3,15;64,00;0,05;0,00;64,00;0,05;-0,00;64,00;-0,00;-0,00;64,00;-0,00;-0,00;64,00;0,46;64,00;-0,46
;0,00;1,78;0,00;0,63;68,00;0,05;0,00;68,00;0,06;-0,00;68,00;-0,00;-0,00;68,00;-0,00;-0,00;68,00;0,48;68,00;-0,48
;0,00;2,47;0,00;0,76;72,00;0,06;0,00;72,00;0,07;-0,00;72,00;0,00;0,00;72,00;0,00;0,00;72,00;0,50;72,00;-0,50
;0,00;0,47;0,00;-0,14;76,00;0,07;0,00;76,00;0,07;-0,00;76,00;-0,00;-0,00;76,00;-0,00;-0,00;76,00;0,51;76,00;-0,51
