C:\Test.Xpress Projects\Tubo Kunt Flávia\Data\LaRocha.1_M2.xdf;03.10.19;11:54:57;;;
;C1:  Time[s];C1:  [Pa];C2:  Time[s];C2:  [Pa];M1: FRF(C1,C2) Frequency[Hz];M1: FRF(C1,C2) [](A);;M2: FRF(C2,C1) Frequency[Hz];M2: FRF(C2,C1) [](A);;M3: FFT(C1) Frequency[Hz];M3: FFT(C1) [Pa](A);;M4: FFT(C2) Frequency[Hz];M4: FFT(C2) [Pa](A);;M5: PHASE(M1) Frequency[Hz];M5: PHASE(M1) Phase[°](A);M6: PHASE(M2) Frequency[Hz];M6: PHASE(M2) Phase[°](A)
Unit;s;Pa;s;Pa;Hz;;;Hz;;;Hz;Pa;;Hz;Pa;;Hz;°;Hz;°
Sensor;;;;;;;;;;;;;;;;;;;;
PointId;;;;;;;;;;;;;;;;;;;;
PointDir;;'';;'';;'';;;'';;;'';;;'';;;'';;''
Info1;;;;;;;;;;;;;;;;;;;;
Info2;;;;;;;;;;;;;;;;;;;;
Info3;;;;;;;;;;;;;;;;;;;;
Info4;;;;;;;;;;;;;;;;;;;;
Z Axis;;;;;;;;;;;;;;;;
;0,00;-0,39;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;63,64;0,00;63,64
;0,00;0,65;0,00;0,37;4,00;0,00;-0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;-2,00;4,00;2,00
;0,00;0,98;0,00;0,75;8,00;0,00;-0,00;8,00;0,00;0,00;8,00;-0,00;-0,00;8,00;-0,00;-0,00;8,00;-1,78;8,00;1,78
;0,00;1,59;0,00;2,22;12,00;0,00;-0,00;12,00;0,00;0,00;12,00;-0,00;0,00;12,00;-0,00;0,00;12,00;-0,77;12,00;0,77
;0,00;2,81;0,00;1,61;16,00;0,00;-0,00;16,00;0,00;0,00;16,00;0,00;-0,00;16,00;0,00;-0,00;16,00;-0,37;16,00;0,37
;0,00;1,78;0,00;-0,16;20,00;0,00;-0,00;20,00;0,00;0,00;20,00;0,00;0,00;20,00;0,00;0,00;20,00;-0,26;20,00;0,26
;0,00;0,02;0,00;-1,13;24,00;0,00;0,00;24,00;0,01;-0,00;24,00;-0,00;0,00;24,00;-0,00;0,00;24,00;-0,00;24,00;0,00
;0,00;-1,55;0,00;-2,26;28,00;0,01;0,00;28,00;0,01;-0,00;28,00;0,00;0,00;28,00;0,00;0,00;28,00;0,10;28,00;-0,10
;0,00;-3,15;0,00;-1,03;32,00;0,01;0,00;32,00;0,01;-0,00;32,00;0,00;-0,00;32,00;0,00;-0,00;32,00;0,21;32,00;-0,21
;0,00;-2,27;0,00;-0,53;36,00;0,01;0,00;36,00;0,02;-0,00;36,00;-0,00;-0,00;36,00;-0,00;-0,00;36,00;0,32;36,00;-0,32
;0,00;-1,82;0,00;-0,71;40,00;0,02;0,00;40,00;0,02;-0,00;40,00;0,00;0,00;40,00;0,00;0,00;40,00;0,36;40,00;-0,36
;0,00;-1,12;0,00;-0,57;44,00;0,02;0,00;44,00;0,02;-0,00;44,00;-0,00;0,00;44,00;-0,00;0,00;44,00;0,38;44,00;-0,38
;0,00;-0,09;0,00;0,33;48,00;0,03;0,00;48,00;0,03;-0,00;48,00;0,00;0,00;48,00;0,00;0,00;48,00;0,44;48,00;-0,44
;0,00;1,42;0,00;1,08;52,00;0,03;0,00;52,00;0,03;-0,00;52,00;-0,00;-0,00;52,00;-0,00;-0,00;52,00;0,51;52,00;-0,51
;0,00;2,09;0,00;1,35;56,00;0,04;0,00;56,00;0,04;-0,00;56,00;0,00;-0,00;56,00;0,00;-0,00;56,00;0,57;56,00;-0,57
;0,00;2,46;0,00;1,30;60,00;0,04;0,00;60,00;0,05;-0,00;60,00;-0,00;0,00;60,00;-0,00;0,00;60,00;0,61;60,00;-0,61
;0,00;1,92;0,00;0,37;64,00;0,05;0,00;64,00;0,05;-0,00;64,00;0,00;0,00;64,00;0,00;0,00;64,00;0,64;64,00;-0,64
;0,00;0,70;0,00;0,04;68,00;0,05;0,00;68,00;0,06;-0,00;68,00;-0,00;-0,00;68,00;-0,00;-0,00;68,00;0,67;68,00;-0,67
;0,00;-0,28;0,00;0,10;72,00;0,06;0,00;72,00;0,07;-0,00;72,00;-0,00;0,00;72,00;-0,00;0,00;72,00;0,71;72,00;-0,71
;0,00;-0,41;0,00;0,70;76,00;0,07;0,00;76,00;0,07;-0,00;76,00;-0,00;0,00;76,00;-0,00;0,00;76,00;0,76;76,00;-0,76
